id,true,pred,correct,seconds,valid_answers,unique_answers,vote_count,code_ok,code_fail,rounds_used
0,142,142,True,5.6,16,1,16,16,0,3
1,144,144,True,203.9,16,1,16,16,32,3
2,81,81,True,9.4,16,1,16,16,0,3
3,4,4,True,10.6,16,1,16,16,0,3
4,13,13,True,7.3,16,1,16,16,0,3
5,2,2,True,6.2,16,1,16,16,0,3
6,30,30,True,10.5,16,1,16,32,0,3
7,18,37,False,6.0,16,1,16,16,0,3
8,-4,2,False,8.0,16,1,16,0,0,3
9,359,15,False,79.2,16,3,11,9,11,3
10,8178,78,False,7.5,16,1,16,16,0,3
11,5,5,True,2.1,16,1,16,0,0,2
12,4,4,True,76.4,16,1,16,0,21,3
14,20,45,False,12.8,16,3,6,0,0,3
15,8,8,True,6.0,16,1,16,16,0,3
16,1296,1296,True,6.9,16,1,16,16,0,3
17,17,4,False,100.4,16,1,16,0,16,3
19,6,9,False,18.4,16,1,16,16,16,3
20,841,841,True,6.8,16,1,16,16,0,3
21,36,36,True,8.2,16,1,16,16,0,3
