id,true,pred,correct,seconds,valid_answers,unique_answers,vote_count,code_ok,code_fail,rounds_used
0,142,142,True,17.9,8,1,8,0,0,2
1,144,105,False,26.7,8,1,8,0,0,2
2,81,81,True,21.1,8,1,8,0,0,2
3,4,4,True,17.3,8,1,8,0,0,2
4,13,10,False,13.4,8,1,8,0,0,2
5,2,2,True,12.2,8,1,8,0,0,2
6,30,32,False,33.2,8,1,8,0,0,2
7,18,24,False,22.6,8,1,8,0,0,2
8,-4,0,False,27.5,0,0,0,0,0,2
9,359,73,False,52.7,8,1,8,0,0,3
10,8178,8190,False,18.6,8,1,8,0,0,2
11,5,5,True,11.0,8,1,8,0,0,2
12,4,4,True,24.6,8,1,8,0,0,2
14,20,40,False,25.3,8,1,8,0,0,2
15,8,8,True,16.7,8,1,8,8,0,3
16,1296,0,False,13.0,8,1,8,0,0,2
17,17,17,True,27.9,8,1,8,0,0,2
19,6,6,True,18.6,8,1,8,0,0,2
20,841,841,True,16.7,8,1,8,0,0,2
21,36,36,True,16.6,8,1,8,0,0,2
