id,true,pred,correct,seconds,valid_answers,vote,avg_tokens
0,142,142,True,51.7,8,8,1950
1,144,144,True,189.8,2,2,7984
2,81,81,True,88.0,8,8,2435
3,4,4,True,99.3,8,8,3789
4,13,13,True,114.1,8,8,4165
5,2,2,True,138.8,8,8,4098
6,30,30,True,83.8,8,8,3033
7,18,18,True,80.4,8,8,3309
8,-4,0,False,184.4,0,0,6644
9,359,359,True,190.4,3,3,7832
10,8178,8178,True,184.5,5,5,6185
11,5,5,True,61.1,8,8,1803
12,4,0,False,189.7,0,0,8192
14,20,20,True,187.0,5,5,7213
15,8,0,False,189.8,0,0,8192
16,1296,0,False,189.9,0,0,8192
17,17,0,False,189.7,0,0,8192
19,6,6,True,116.5,8,8,4404
20,841,841,True,117.2,8,8,3986
21,36,36,True,71.3,8,8,2628
