id,true,pred,correct,seconds,valid_answers,unique_answers,vote_count,code_ok,code_fail,rounds_used
0e644e,336,4,False,10.0,16,1,16,16,0,3
26de63,32951,2,False,108.3,16,3,7,9,16,3
424e18,21818,62140,False,12.4,16,1,16,16,0,3
42d360,32193,32191,False,9.0,16,2,8,16,0,3
641659,57447,512,False,8.8,16,2,10,16,0,3
86e8e5,8687,2,False,53.3,16,1,16,0,8,3
92ba6a,50,176,False,69.1,16,2,10,6,16,3
9c1c5f,580,1,False,4.6,16,1,16,0,0,2
a295e9,520,1000,False,8.7,16,2,12,16,0,3
dd7f5e,160,36,False,9.0,16,2,9,16,0,3
